created_at,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,id,statuses_count,verified,average_tweets_per_day,account_age_days,tweet_length,tweet_digits_count,tweet_mean_bigram_freq,tweet_entropy,tweet_'bot'_count,tweet_hashtag_count,tweet_url_count,tweet_unique_url_count,tweet_unique_mention_count,tweet_fraction_lowercase_words,tweet_fraction_uppercase_words,tweet_word_count,tweet_sentence_count,tweet_avg_word_length,tweet_avg_word_per_sentence,tweet_repeated_words,tweet_question_count,tweet_exclamation_count,tweet_special_characters,tweet_noun_counts,tweet_adjective_count,tweet_adverb_count,tweet_verb_count,tweet_pronoun_count,tweet_adjective_counts,tweet_adverb_counts,tweet_verb_counts,tweet_pronoun_counts,name_length,name_digits_count,name_mean_bigram_freq,name_entropy,name_contains_'bot',account_type
1340797662,0,0,7004,313,199,0,619744784,17786,0,5.978,2975,95,0,1.0,3.992569398945102,0,0,0,0,0,1.0,0.0,20,0,3.6666666666666665,0.0,"{'to': 2, 'it,': 2, 'the': 2}",0,0,2,4,0,0,0,0,1,0,4,2,9,0,1.0,2.94770277922009,0,1
1432400760,1,0,10169,61,608,0,3224145426,435,0,0.227,1914,107,0,1.0,4.547167740912957,0,1,0,0,0,0.5,0.5,2,0,7.0,0.0,{},0,0,7,2,0,0,0,0,0,0,0,0,12,1,1.0,3.0849625007211556,0,1
1400040556,1,0,23429,1215,954,1,2545978907,9309,0,4.067,2289,34,0,1.0,4.038889769062009,0,0,0,0,0,0.0,1.0,1,0,4.0,0.0,{'//': 2},0,0,5,0,0,0,0,0,0,0,0,0,11,0,1.1111111111111112,2.845350936622437,0,1
1445887996,1,0,41064,3315,727,0,4046753309,1073,0,0.61,1758,22,0,1.0,4.004886164091842,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,0,0,0,0,0,0,0,1,0,10,0,1.0,2.9219280948873623,0,1
1241309636,0,0,90,771,61,0,37260832,1911,0,0.463,4126,150,0,1.0384615384615385,4.238657423971358,0,0,0,0,0,0.9259259259259259,0.07407407407407407,27,2,4.28,13.5,{'i': 2},0,1,7,5,0,0,0,0,4,0,7,4,11,0,1.0,3.027169118440619,0,0
1454363251,0,0,4232,109704,30345,0,4869623332,4395,0,2.648,1660,116,4,1.0,4.814070652594291,0,1,1,1,0,1.0,0.0,7,1,3.1666666666666665,7.0,"{'💗': 3, 'and': 2, '📺': 2}",0,0,21,3,0,0,0,0,0,0,1,1,13,3,1.0909090909090908,2.873140679513133,0,0
1369745107,0,0,955,182,817,1,1464110647,1912,0,0.724,2640,116,0,1.0,4.263232638077065,0,0,0,0,0,1.0,0.0,15,2,6.214285714285714,7.5,{'a': 2},0,0,4,4,0,0,0,0,4,2,1,1,14,0,1.0,3.378783493486176,0,1
1244943976,0,0,65492,32333,2080,1,46960191,41090,1,10.061,4084,115,2,1.0,4.754418545285698,0,0,0,0,2,1.0,0.0,3,4,6.0,0.75,{},0,0,10,1,0,0,0,0,0,0,0,0,7,0,1.0,2.5216406363433186,0,1
1229315607,0,0,48468,272,381,1,18124353,26392,0,6.188,4265,153,0,1.0,4.539796479781293,0,0,0,0,1,0.9230769230769231,0.07692307692307693,13,8,5.153846153846154,1.625,{},0,0,12,5,0,0,0,0,4,1,1,1,8,2,1.0,3.0,0,1
1309671925,0,0,2428,119,73,0,328240703,5743,0,1.722,3335,53,0,1.0,4.282086671863374,0,0,0,0,0,0.8571428571428571,0.14285714285714285,7,1,4.714285714285714,7.0,{},0,0,3,3,0,0,0,0,1,0,0,0,14,0,1.0,3.182005814760214,0,0
1250739402,1,0,2333,126505,1030,1,67145296,8298,0,2.066,4017,131,0,1.0,4.460350684904502,0,0,0,0,0,1.0,0.0,3,1,7.333333333333333,3.0,"{'*': 2, '&': 2}",0,0,7,4,0,0,0,0,2,0,0,0,13,1,1.0,2.873140679513133,0,1
1301463287,0,0,3911,148,500,0,274239099,3129,0,0.912,3430,147,0,1.0,4.21946427231457,0,0,0,0,0,0.9230769230769231,0.07692307692307693,26,2,4.083333333333333,13.0,"{'my': 2, 'i': 2}",0,1,5,8,0,0,0,0,3,2,4,4,11,0,1.0,2.845350936622437,0,1
1246925406,0,0,54260,115069,88037,1,54300306,11863,1,2.921,4061,153,0,1.0,4.56741710121165,0,0,0,0,1,0.875,0.125,8,4,2.7142857142857144,2.0,{'by': 2},0,0,10,2,0,0,0,0,2,0,3,0,9,0,1.0,3.169925001442312,0,1
1330771614,1,0,44061,2236,4679,1,512790163,41298,0,13.361,3091,132,1,1.0,4.99138652291222,0,1,0,0,2,0.8,0.2,5,1,8.2,5.0,{},0,0,20,9,0,0,0,0,0,0,0,0,12,0,1.0,3.2516291673878226,0,1
1256547494,0,0,13207,26992,4911,1,85233317,40065,0,10.143,3950,108,1,1.0,4.332571013432079,0,1,0,0,0,0.5,0.5,2,6,3.0,0.3333333333333333,"{'....': 3, '...': 2}",0,0,29,2,0,0,0,0,1,0,0,0,10,0,1.0,2.8464393446710154,0,1
1235285279,0,0,1466,6,4,0,21532331,2146,0,0.511,4196,147,0,1.037037037037037,4.213879263510512,0,0,0,0,0,0.9310344827586207,0.06896551724137931,29,2,4.3076923076923075,14.5,"{""i'm"": 2, 'of': 2}",0,0,5,5,0,0,0,0,3,4,3,7,6,0,1.0,2.584962500721156,0,0
1430466475,1,0,6929,167,205,1,3181153986,5770,0,2.979,1937,158,1,1.0,5.003430218127726,0,1,0,0,0,0.4666666666666667,0.5333333333333333,15,7,6.2,2.142857142857143,{},0,3,21,5,0,0,0,0,1,1,3,2,14,3,1.0,3.6644977792004623,0,0
1331239434,0,0,416227,390108,0,1,518557386,3269,1,1.06,3085,13,0,1.0,3.5465935642949384,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,0,0,0,0,0,0,0,0,0,14,0,1.0,3.521640636343319,0,1
1236958431,0,0,338,183,374,1,24153808,4667,0,1.117,4177,17,0,1.0,3.2639334294856344,0,0,0,0,0,0.0,1.0,1,0,2.0,0.0,{},0,0,2,3,0,0,0,0,0,0,0,0,8,3,1.0,3.0,0,1
1240902065,0,0,1338,1227,1252,1,35950289,4804,0,1.163,4131,88,0,1.0,4.485357746730952,0,1,0,0,0,0.75,0.25,4,0,4.5,0.0,{},0,0,3,4,0,0,0,0,0,0,0,0,12,0,1.0,3.188721875540867,0,0
1433304348,1,0,382960,2928,2556,0,3234369283,125947,0,66.149,1904,82,0,1.0,4.4714730853200475,0,1,0,0,0,1.0,0.0,6,2,5.666666666666667,3.0,{},0,0,8,2,0,0,0,0,1,1,0,1,11,0,1.0,2.9139770731827523,0,1
1318031418,0,0,6574,64,83,0,386699013,3925,0,1.212,3238,125,0,1.0,4.347264960139667,0,0,0,0,0,1.0,0.0,16,7,5.615384615384615,2.2857142857142856,{'love': 4},0,0,12,5,0,0,0,0,0,2,3,1,13,0,1.0,3.0269868333592873,0,1
1306213309,0,0,9704,6487,4066,1,304123654,12186,0,3.611,3375,160,0,1.0,4.313365419802277,0,0,0,0,0,1.0,0.0,24,2,4.7727272727272725,12.0,"{'spend': 2, 'time': 2}",0,1,7,12,0,0,0,0,2,0,6,1,8,0,1.0,3.0,0,1
