tweet_length,tweet_digits_count,tweet_mean_bigram_freq,tweet_entropy,tweet_'bot'_count,tweet_hashtag_count,tweet_url_count,tweet_unique_url_count,tweet_unique_mention_count,tweet_fraction_lowercase_words,tweet_fraction_uppercase_words,tweet_word_count,tweet_sentence_count,tweet_avg_word_length,tweet_avg_word_per_sentence,tweet_repeated_words,tweet_question_count,tweet_exclamation_count,tweet_special_characters,tweet_noun_counts,tweet_adjective_count,tweet_adverb_count,tweet_verb_count,tweet_pronoun_count,tweet_sentiment_score,tweet_adjective_counts,tweet_adverb_counts,tweet_verb_counts,tweet_pronoun_counts
134,7,1.0,4.647914009768277,0,0,0,0,1,1.0,0.0,16,3,4.357142857142857,5.333333333333333,{'blame': 2},0,0,9,7,0,0,0,0,Negative,1,0,5,3
158,1,1.0,4.726831510099752,0,1,1,1,1,1.0,0.0,6,3,2.6666666666666665,2.0,"{'•': 4, '◉': 2}",0,1,16,3,0,0,0,0,Neutral,0,1,3,2
83,0,1.0,4.241500096264498,0,0,0,0,0,1.0,0.0,7,1,5.285714285714286,7.0,{},0,0,8,2,0,0,0,0,Neutral,0,0,1,1
101,0,1.0,4.120371288079654,0,0,0,0,0,1.0,0.0,11,0,7.363636363636363,0.0,{},0,0,11,10,0,0,0,0,Neutral,0,0,0,0
14,0,1.0,3.521640636343319,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,{},0,0,0,0,0,0,0,0,Neutral,0,0,0,0
42,0,1.0,4.159592720140252,0,3,0,0,0,1.0,0.0,6,1,4.166666666666667,6.0,{},0,1,4,3,0,0,0,0,Neutral,0,0,2,0
152,4,1.0,4.732376298633074,0,1,0,0,0,0.7692307692307693,0.23076923076923078,13,3,3.4615384615384617,4.333333333333333,{},1,0,22,5,0,0,0,0,Negative,0,1,0,0
129,6,1.0,4.828987327752095,0,1,0,0,3,1.0,0.0,3,5,7.0,0.6,{},0,0,13,4,0,0,0,0,Positive,0,0,1,2
113,0,1.0,4.062103175293955,0,0,0,0,0,0.9375,0.0625,16,1,5.4,16.0,"{'a': 2, 'and': 2}",0,1,2,5,0,0,0,0,Negative,1,1,1,1
124,0,1.0,4.137907429278594,0,0,0,0,0,0.9047619047619048,0.09523809523809523,21,2,4.7,10.5,{'i': 2},0,0,5,3,0,0,0,0,Negative,4,0,5,3
11,0,0.0,3.095795255000934,0,1,0,0,0,1.0,0.0,1,0,10.0,0.0,{},0,0,1,0,0,0,0,0,Neutral,0,0,1,0
78,0,1.0,4.173769007096785,0,1,0,0,0,1.0,0.0,3,1,5.0,3.0,{},0,0,21,1,0,0,0,0,Neutral,1,1,2,1
91,1,1.0,4.306983863655552,0,0,0,0,0,0.9333333333333333,0.06666666666666667,15,2,4.142857142857143,7.5,{'to': 2},0,0,4,9,0,0,0,0,Neutral,1,0,0,0
160,0,1.0,4.964001915457459,0,0,0,0,0,0.52,0.48,25,3,4.68,8.333333333333334,{},0,3,6,6,0,0,0,0,Negative,2,0,0,2
14,2,1.0,3.182005814760214,0,0,0,0,0,1.0,0.0,2,0,4.5,0.0,{'3': 2},0,0,0,0,0,0,0,0,Neutral,0,0,1,1
158,0,1.0,4.583159408918226,0,1,0,0,0,0.6,0.4,5,0,3.4,0.0,{},0,0,8,1,0,0,0,0,Positive,0,1,1,0
148,0,1.0,5.148770998737738,0,1,0,0,1,0.6,0.4,10,3,6.6,3.3333333333333335,{},0,1,11,7,0,0,0,0,Neutral,1,1,3,2
19,0,1.0,3.471354487013928,0,0,0,0,0,1.0,0.0,2,0,5.5,0.0,{},0,0,0,1,0,0,0,0,Neutral,0,0,0,0
118,5,1.0,4.82137491058738,0,0,0,0,0,0.8571428571428571,0.14285714285714285,7,1,5.428571428571429,7.0,{'baylor': 3},0,0,7,4,0,0,0,0,Neutral,1,0,0,0
130,12,1.0,5.128565822113364,0,1,1,1,0,0.9,0.1,10,1,3.7,10.0,{'|': 2},0,0,15,4,0,0,0,0,Positive,1,0,2,1
157,8,1.0,4.352600276836202,0,0,0,0,0,0.9259259259259259,0.07407407407407407,27,4,3.5416666666666665,6.75,"{'have': 2, 'of': 2, 'and': 2}",0,4,13,6,0,0,0,0,Positive,3,1,2,3
58,0,1.0,4.017898542229861,0,0,0,0,0,1.0,0.0,11,0,3.727272727272727,0.0,{},0,0,1,3,0,0,0,0,Neutral,0,0,1,1
41,2,1.0,4.452200407575065,0,0,1,1,0,1.0,0.0,7,1,2.5714285714285716,7.0,{},0,0,5,0,0,0,0,0,Neutral,0,0,1,2
96,2,1.0,4.475622925805008,0,0,0,0,1,0.875,0.125,8,2,5.625,4.0,"{'|': 2, 'teen': 2, '+': 2}",0,0,8,5,0,0,0,0,Positive,1,1,1,1
44,0,1.0,3.945131834930691,0,0,0,0,0,0.3333333333333333,0.6666666666666666,3,3,1.3333333333333333,1.0,{},0,0,3,0,0,0,0,0,Neutral,1,0,0,0
58,0,1.0,4.241625719923186,0,0,0,0,0,0.6666666666666666,0.3333333333333333,12,4,2.8181818181818183,3.0,{},0,2,10,0,0,0,0,0,Neutral,0,0,1,5
145,0,1.0,5.1169067187050175,0,1,0,0,0,0.0,1.0,4,2,1.5,2.0,{'|': 4},0,0,38,8,0,0,0,0,Neutral,0,1,2,0
132,6,1.125,4.97991591023778,0,0,2,2,2,1.0,0.0,10,3,6.142857142857143,3.3333333333333335,{},0,0,17,5,0,0,0,0,Negative,0,0,0,0
123,0,1.0,4.36514926791047,0,1,0,0,3,0.9230769230769231,0.07692307692307693,13,0,5.153846153846154,0.0,{'|': 5},0,0,11,10,0,0,0,0,Positive,2,2,0,0
43,0,1.0,3.8904717310437777,0,0,0,0,0,0.75,0.25,8,1,3.875,8.0,{},0,0,3,1,0,0,0,0,Negative,0,2,0,2
157,1,1.0,4.669038272719971,0,0,1,1,0,0.9523809523809523,0.047619047619047616,21,3,4.761904761904762,7.0,{},0,0,20,2,0,0,0,0,Positive,5,5,1,1
61,0,1.0,4.15199154307079,0,0,0,0,0,1.0,0.0,5,1,8.2,5.0,{},0,0,1,3,0,0,0,0,Neutral,1,1,0,1
157,5,1.0869565217391304,5.087770602796044,0,0,2,2,0,0.8947368421052632,0.10526315789473684,19,4,3.7333333333333334,4.75,{},0,0,26,2,0,0,0,0,Positive,0,2,4,5
36,0,1.0,3.9822892374933265,0,0,0,0,0,1.0,0.0,5,1,6.2,5.0,{},0,0,1,1,0,0,0,0,Positive,3,0,0,1
